price,year,manufacturer,model,condition,odometer,transmission,drive,paint_color,state,posting_year,age
26590,2020.0,honda,civic,good,9954.0,other,fwd,silver,al,2021,1.0
18590,2018.0,honda,civic,good,28942.0,other,fwd,white,al,2021,3.0
21590,2018.0,honda,civic,good,7885.0,other,fwd,,al,2021,3.0
16988,2018.0,nissan,altima,,57517.0,automatic,fwd,silver,al,2021,3.0
3900,2009.0,hyundai,elantra,,162005.0,automatic,rwd,white,al,2021,12.0
16902,2020.0,toyota,corolla,,11692.0,automatic,fwd,black,al,2021,1.0
27988,2020.0,nissan,altima,,15139.0,automatic,,blue,al,2021,1.0
8888,2005.0,nissan,altima,excellent,53320.0,automatic,fwd,brown,al,2021,16.0
5500,2008.0,nissan,altima,like new,150000.0,automatic,fwd,white,al,2021,13.0
3900,2009.0,hyundai,elantra,,162005.0,automatic,rwd,white,al,2021,12.0
8995,2005.0,nissan,altima,excellent,53320.0,automatic,fwd,brown,al,2021,16.0
16990,2019.0,toyota,corolla,,44752.0,automatic,fwd,,al,2021,2.0
9990,2015.0,toyota,corolla,excellent,125224.0,automatic,fwd,,al,2021,6.0
3500,1995.0,honda,civic,good,215000.0,manual,fwd,red,al,2021,26.0
12558,2016.0,hyundai,elantra,,76381.0,automatic,fwd,white,al,2021,5.0
3950,2003.0,honda,civic,excellent,236890.0,automatic,,,al,2021,18.0
18900,2019.0,nissan,altima,good,47421.0,automatic,fwd,grey,al,2021,2.0
26500,2019.0,nissan,altima,,13544.0,automatic,fwd,,al,2021,2.0
26590,2020.0,honda,civic,good,9954.0,other,fwd,silver,al,2021,1.0
8500,2015.0,nissan,altima,excellent,100000.0,automatic,fwd,white,al,2021,6.0
7280,2014.0,nissan,altima,,135000.0,automatic,,,al,2021,7.0
3450,2006.0,toyota,corolla,,206058.0,automatic,fwd,red,al,2021,15.0
39888,2019.0,honda,civic,like new,9528.0,manual,,,al,2021,2.0
16902,2020.0,toyota,corolla,,11692.0,automatic,fwd,black,al,2021,1.0
6480,2012.0,nissan,altima,,145000.0,automatic,,,al,2021,9.0
16897,2018.0,hyundai,elantra,,71224.0,other,fwd,black,al,2021,3.0
27958,2020.0,nissan,altima,,6333.0,automatic,fwd,red,al,2021,1.0
6800,2010.0,nissan,altima,like new,139000.0,automatic,fwd,black,al,2021,11.0
27988,2020.0,nissan,altima,,15139.0,automatic,,blue,al,2021,1.0
3950,2003.0,honda,civic,excellent,236890.0,automatic,,,al,2021,18.0
6950,2008.0,honda,civic,excellent,135000.0,automatic,fwd,silver,al,2021,13.0
6350,2013.0,toyota,corolla,excellent,184000.0,automatic,fwd,silver,al,2021,8.0
26500,2019.0,nissan,altima,,13544.0,automatic,fwd,,al,2021,2.0
4500,2006.0,honda,civic,good,170000.0,automatic,fwd,white,al,2021,15.0
3900,2001.0,honda,civic,,144000.0,automatic,fwd,black,al,2021,20.0
39888,2019.0,honda,civic,like new,9528.0,manual,,,al,2021,2.0
16902,2020.0,toyota,corolla,,11692.0,automatic,fwd,black,al,2021,1.0
9989,2015.0,hyundai,elantra,,122666.0,other,fwd,silver,al,2021,6.0
19275,2020.0,toyota,corolla,,11314.0,automatic,fwd,white,al,2021,1.0
3950,2003.0,honda,civic,excellent,236890.0,automatic,,,al,2021,18.0
