price,year,manufacturer,model,condition,odometer,transmission,drive,paint_color,state,posting_year,age
16590,2015.0,hyundai,sonata,good,26655.0,other,fwd,white,al,2021,6.0
18590,2018.0,hyundai,sonata,good,22075.0,other,fwd,white,al,2021,3.0
18590,2017.0,toyota,camry,good,30223.0,other,fwd,silver,al,2021,4.0
10990,2013.0,nissan,sentra,good,81557.0,other,fwd,red,al,2021,8.0
4299,2007.0,nissan,sentra,,189321.0,automatic,fwd,silver,al,2021,14.0
3500,2003.0,toyota,camry,good,237000.0,automatic,,,al,2021,18.0
2500,2008.0,honda,accord,good,204561.0,automatic,fwd,silver,al,2021,13.0
7800,2005.0,honda,accord,excellent,155000.0,manual,,,al,2021,16.0
2675,1996.0,toyota,camry,,164719.0,automatic,fwd,green,al,2021,25.0
4499,2005.0,toyota,camry,,170687.0,automatic,fwd,blue,al,2021,16.0
3999,2006.0,honda,accord,,253076.0,automatic,fwd,silver,al,2021,15.0
4000,2002.0,toyota,camry,like new,160000.0,automatic,fwd,white,al,2021,19.0
12499,2012.0,toyota,camry,,64950.0,automatic,fwd,red,al,2021,9.0
7999,2007.0,toyota,camry,,67650.0,automatic,fwd,custom,al,2021,14.0
17989,2018.0,toyota,camry,,120943.0,automatic,fwd,silver,al,2021,3.0
10900,2010.0,honda,accord,good,97804.0,automatic,fwd,grey,al,2021,11.0
2675,1996.0,toyota,camry,,164719.0,automatic,fwd,green,al,2021,25.0
9500,2013.0,hyundai,sonata,excellent,125000.0,automatic,fwd,red,al,2021,8.0
19900,2019.0,hyundai,sonata,good,21872.0,automatic,fwd,white,al,2021,2.0
3450,1997.0,honda,accord,,172295.0,automatic,fwd,black,al,2021,24.0
6500,2010.0,honda,accord,like new,170000.0,automatic,fwd,,al,2021,11.0
8500,2011.0,toyota,camry,excellent,114500.0,automatic,fwd,blue,al,2021,10.0
4499,2005.0,toyota,camry,,170687.0,automatic,fwd,blue,al,2021,16.0
4500,2005.0,toyota,camry,like new,170000.0,automatic,fwd,white,al,2021,16.0
3500,2003.0,toyota,camry,good,237000.0,automatic,,,al,2021,18.0
7480,2013.0,hyundai,sonata,,117000.0,automatic,,,al,2021,8.0
3999,2006.0,honda,accord,,253076.0,automatic,fwd,silver,al,2021,15.0
4425,2004.0,honda,accord,,192275.0,automatic,fwd,black,al,2021,17.0
18877,2017.0,toyota,camry,,52822.0,automatic,fwd,silver,al,2021,4.0
1500,2002.0,honda,accord,,168000.0,automatic,,,al,2021,19.0
24958,2020.0,toyota,camry,,4862.0,automatic,fwd,white,al,2021,1.0
4499,2005.0,toyota,camry,,170687.0,automatic,fwd,blue,al,2021,16.0
16990,2018.0,hyundai,sonata,good,31871.0,other,fwd,red,al,2021,3.0
3800,2000.0,toyota,camry,,164814.0,automatic,fwd,,al,2021,21.0
20989,2019.0,toyota,camry,,43464.0,automatic,fwd,white,al,2021,2.0
3999,2006.0,honda,accord,,253076.0,automatic,fwd,silver,al,2021,15.0
4425,2004.0,honda,accord,,192275.0,automatic,fwd,black,al,2021,17.0
4000,2002.0,toyota,camry,like new,160000.0,automatic,fwd,white,al,2021,19.0
17989,2015.0,toyota,camry,,65381.0,automatic,fwd,,al,2021,6.0
7977,2007.0,toyota,camry,,117148.0,automatic,fwd,red,al,2021,14.0
3500,2003.0,honda,accord,good,201580.0,automatic,fwd,grey,al,2021,18.0
6500,2011.0,toyota,camry,good,214000.0,automatic,,black,al,2021,10.0
17989,2018.0,toyota,camry,,120943.0,automatic,fwd,silver,al,2021,3.0
19425,2017.0,honda,accord,,34539.0,automatic,fwd,red,al,2021,4.0
5950,2008.0,honda,accord,excellent,190000.0,automatic,fwd,grey,al,2021,13.0
18590,2018.0,hyundai,sonata,good,22075.0,other,fwd,white,al,2021,3.0
6500,2010.0,honda,accord,good,174000.0,automatic,,grey,al,2021,11.0
16990,2015.0,honda,accord,,82023.0,automatic,fwd,white,al,2021,6.0
18590,2017.0,toyota,camry,good,30223.0,other,fwd,silver,al,2021,4.0
4177,2004.0,hyundai,sonata,,127131.0,automatic,fwd,black,al,2021,17.0
3999,2006.0,honda,accord,,253076.0,automatic,fwd,silver,al,2021,15.0
4425,2004.0,honda,accord,,192275.0,automatic,fwd,black,al,2021,17.0
4475,2008.0,hyundai,sonata,,116916.0,automatic,fwd,blue,al,2021,13.0
3600,2002.0,honda,accord,,272068.0,automatic,fwd,blue,al,2021,19.0
4477,2000.0,honda,accord,,129865.0,automatic,fwd,green,al,2021,21.0
3500,2003.0,toyota,camry,good,237000.0,automatic,,,al,2021,18.0
3500,1991.0,honda,accord,,153919.0,automatic,fwd,blue,al,2021,30.0
10990,2013.0,nissan,sentra,good,81557.0,other,fwd,red,al,2021,8.0
24958,2020.0,toyota,camry,,4862.0,automatic,fwd,white,al,2021,1.0
7480,2013.0,hyundai,sonata,,117000.0,automatic,,,al,2021,8.0
20989,2019.0,toyota,camry,,43464.0,automatic,fwd,white,al,2021,2.0
3500,2004.0,honda,accord,good,212795.0,automatic,,,al,2021,17.0
4200,2009.0,hyundai,sonata,excellent,93000.0,automatic,fwd,black,al,2021,12.0
24000,2018.0,toyota,camry,,38000.0,automatic,,,al,2021,3.0
17998,2017.0,toyota,camry,excellent,43184.0,automatic,,black,al,2021,4.0
24000,2018.0,honda,accord,excellent,49300.0,automatic,,,al,2021,3.0
3800,2003.0,toyota,camry,,150042.0,automatic,,,al,2021,18.0
16590,2015.0,hyundai,sonata,good,26655.0,other,fwd,white,al,2021,6.0
4500,1994.0,honda,accord,good,184000.0,manual,fwd,blue,al,2021,27.0
18590,2018.0,hyundai,sonata,good,22075.0,other,fwd,white,al,2021,3.0
9079,2014.0,honda,accord,,120569.0,automatic,,,al,2021,7.0
18590,2017.0,toyota,camry,good,30223.0,other,fwd,silver,al,2021,4.0
32498,2020.0,honda,accord,excellent,36170.0,automatic,,white,al,2021,1.0
10990,2013.0,nissan,sentra,good,81557.0,other,fwd,red,al,2021,8.0
20998,2018.0,toyota,camry,excellent,55610.0,automatic,,,al,2021,3.0
2650,1998.0,honda,accord,,156000.0,automatic,fwd,silver,al,2021,23.0
16590,2015.0,hyundai,sonata,good,26655.0,other,fwd,white,al,2021,6.0
17590,2016.0,hyundai,sonata,good,9570.0,other,fwd,,al,2021,5.0
18590,2017.0,toyota,camry,good,30223.0,other,fwd,silver,al,2021,4.0
8800,2012.0,hyundai,sonata,excellent,107534.0,automatic,,blue,al,2021,9.0
700,1996.0,honda,accord,fair,274250.0,automatic,fwd,grey,al,2021,25.0
15990,2017.0,hyundai,sonata,good,55105.0,other,fwd,black,al,2021,4.0
1000,2006.0,toyota,camry,fair,250000.0,automatic,fwd,silver,al,2021,15.0
18590,2018.0,hyundai,sonata,good,22075.0,other,fwd,white,al,2021,3.0
7200,2013.0,nissan,sentra,excellent,117500.0,automatic,fwd,white,al,2021,8.0
18590,2017.0,toyota,camry,good,30223.0,other,fwd,silver,al,2021,4.0
7400,2011.0,toyota,camry,,192000.0,automatic,,,al,2021,10.0
2500,2003.0,honda,accord,good,277958.0,automatic,fwd,silver,al,2021,18.0
10554,2015.0,hyundai,sonata,,83874.0,automatic,,,al,2021,6.0
4300,2004.0,honda,accord,excellent,180000.0,automatic,fwd,silver,al,2021,17.0
5500,2007.0,honda,accord,good,155000.0,manual,fwd,white,al,2021,14.0
7800,2005.0,honda,accord,excellent,155000.0,manual,,,al,2021,16.0
9495,2013.0,toyota,camry,excellent,152000.0,automatic,fwd,silver,al,2021,8.0
1800,2003.0,honda,accord,good,152735.0,automatic,fwd,black,al,2021,18.0
8900,2011.0,toyota,camry,excellent,164000.0,automatic,fwd,white,al,2021,10.0
8900,2010.0,honda,accord,good,134037.0,automatic,fwd,grey,al,2021,11.0
21990,2017.0,honda,accord,good,33449.0,other,fwd,white,al,2021,4.0
14655,2015.0,toyota,camry,,133131.0,automatic,fwd,white,al,2021,6.0
7499,2011.0,honda,accord,,167430.0,automatic,,red,al,2021,10.0
4995,2007.0,toyota,camry,excellent,166000.0,automatic,fwd,green,al,2021,14.0
12995,2013.0,toyota,camry,excellent,68436.0,automatic,fwd,red,al,2021,8.0
11199,2011.0,toyota,camry,,98605.0,other,fwd,green,al,2021,10.0
3277,2004.0,honda,accord,good,256000.0,automatic,fwd,green,al,2021,17.0
6795,2011.0,hyundai,sonata,,135000.0,automatic,rwd,red,al,2021,10.0
9634,2009.0,toyota,camry,,98799.0,other,fwd,,al,2021,12.0
16990,2018.0,hyundai,sonata,good,31871.0,other,fwd,red,al,2021,3.0
5977,2012.0,honda,accord,excellent,174000.0,automatic,fwd,custom,al,2021,9.0
18590,2018.0,hyundai,sonata,good,22075.0,other,fwd,white,al,2021,3.0
16990,2015.0,honda,accord,,82023.0,automatic,fwd,white,al,2021,6.0
18590,2017.0,toyota,camry,good,30223.0,other,fwd,silver,al,2021,4.0
4000,2006.0,hyundai,sonata,,161530.0,automatic,fwd,blue,al,2021,15.0
3500,2007.0,hyundai,sonata,,227356.0,automatic,fwd,grey,al,2021,14.0
7200,2010.0,honda,accord,good,178000.0,automatic,fwd,red,al,2021,11.0
18897,2016.0,toyota,camry,,41378.0,other,fwd,white,al,2021,5.0
